"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","EXCH","TOT","NATUSD","A","2000",1.072336,
"GRC","EXCH","TOT","NATUSD","A","2001",1.11751,
"GRC","EXCH","TOT","NATUSD","A","2002",1.062552,
"GRC","EXCH","TOT","NATUSD","A","2003",0.886034,
"GRC","EXCH","TOT","NATUSD","A","2004",0.805365,
"GRC","EXCH","TOT","NATUSD","A","2005",0.80412,
"GRC","EXCH","TOT","NATUSD","A","2006",0.797141,
"GRC","EXCH","TOT","NATUSD","A","2007",0.730638,
"GRC","EXCH","TOT","NATUSD","A","2008",0.682675,
"GRC","EXCH","TOT","NATUSD","A","2009",0.719843,
"GRC","EXCH","TOT","NATUSD","A","2010",0.755045,
"GRC","EXCH","TOT","NATUSD","A","2011",0.719355,
"GRC","EXCH","TOT","NATUSD","A","2012",0.778294,
"GRC","EXCH","TOT","NATUSD","A","2013",0.753159,
"GRC","EXCH","TOT","NATUSD","A","2014",0.753731,
"GRC","EXCH","TOT","NATUSD","A","2015",0.901659,
"GRC","EXCH","TOT","NATUSD","A","2016",0.904035,
"GRC","EXCH","TOT","NATUSD","A","2017",0.887397,
"GRC","EXCH","TOT","NATUSD","A","2018",0.847186,
"ITA","EXCH","TOT","NATUSD","A","2000",1.085401,
"ITA","EXCH","TOT","NATUSD","A","2001",1.11751,
"ITA","EXCH","TOT","NATUSD","A","2002",1.062552,
"ITA","EXCH","TOT","NATUSD","A","2003",0.886034,
"ITA","EXCH","TOT","NATUSD","A","2004",0.805365,
"ITA","EXCH","TOT","NATUSD","A","2005",0.80412,
"ITA","EXCH","TOT","NATUSD","A","2006",0.797141,
"ITA","EXCH","TOT","NATUSD","A","2007",0.730638,
"ITA","EXCH","TOT","NATUSD","A","2008",0.682675,
"ITA","EXCH","TOT","NATUSD","A","2009",0.719843,
"ITA","EXCH","TOT","NATUSD","A","2010",0.755045,
"ITA","EXCH","TOT","NATUSD","A","2011",0.719355,
"ITA","EXCH","TOT","NATUSD","A","2012",0.778294,
"ITA","EXCH","TOT","NATUSD","A","2013",0.753159,
"ITA","EXCH","TOT","NATUSD","A","2014",0.753731,
"ITA","EXCH","TOT","NATUSD","A","2015",0.901659,
"ITA","EXCH","TOT","NATUSD","A","2016",0.904035,
"ITA","EXCH","TOT","NATUSD","A","2017",0.887397,
"ITA","EXCH","TOT","NATUSD","A","2018",0.847186,
"PRT","EXCH","TOT","NATUSD","A","2000",1.085401,
"PRT","EXCH","TOT","NATUSD","A","2001",1.11751,
"PRT","EXCH","TOT","NATUSD","A","2002",1.062552,
"PRT","EXCH","TOT","NATUSD","A","2003",0.886034,
"PRT","EXCH","TOT","NATUSD","A","2004",0.805365,
"PRT","EXCH","TOT","NATUSD","A","2005",0.80412,
"PRT","EXCH","TOT","NATUSD","A","2006",0.797141,
"PRT","EXCH","TOT","NATUSD","A","2007",0.730638,
"PRT","EXCH","TOT","NATUSD","A","2008",0.682675,
"PRT","EXCH","TOT","NATUSD","A","2009",0.719843,
"PRT","EXCH","TOT","NATUSD","A","2010",0.755045,
"PRT","EXCH","TOT","NATUSD","A","2011",0.719355,
"PRT","EXCH","TOT","NATUSD","A","2012",0.778294,
"PRT","EXCH","TOT","NATUSD","A","2013",0.753159,
"PRT","EXCH","TOT","NATUSD","A","2014",0.753731,
"PRT","EXCH","TOT","NATUSD","A","2015",0.901659,
"PRT","EXCH","TOT","NATUSD","A","2016",0.904035,
"PRT","EXCH","TOT","NATUSD","A","2017",0.887397,
