LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
GRC,WOMEN,PC_WKGPOP,A,2005,45.975
GRC,WOMEN,PC_WKGPOP,A,2006,47.3
GRC,WOMEN,PC_WKGPOP,A,2007,47.675
GRC,WOMEN,PC_WKGPOP,A,2008,48.575
GRC,WOMEN,PC_WKGPOP,A,2009,48.9
GRC,WOMEN,PC_WKGPOP,A,2010,48.025
GRC,WOMEN,PC_WKGPOP,A,2011,44.975
GRC,WOMEN,PC_WKGPOP,A,2012,41.725
GRC,WOMEN,PC_WKGPOP,A,2013,39.9
GRC,WOMEN,PC_WKGPOP,A,2014,41.1
GRC,WOMEN,PC_WKGPOP,A,2015,42.475
GRC,WOMEN,PC_WKGPOP,A,2016,43.325
GRC,WOMEN,PC_WKGPOP,A,2017,44.425
GRC,WOMEN,PC_WKGPOP,A,2018,45.3
ITA,WOMEN,PC_WKGPOP,A,2005,45.375
ITA,WOMEN,PC_WKGPOP,A,2006,46.35
ITA,WOMEN,PC_WKGPOP,A,2007,46.625
ITA,WOMEN,PC_WKGPOP,A,2008,47.25
ITA,WOMEN,PC_WKGPOP,A,2009,46.35
ITA,WOMEN,PC_WKGPOP,A,2010,46.125
ITA,WOMEN,PC_WKGPOP,A,2011,46.5
ITA,WOMEN,PC_WKGPOP,A,2012,47.075
ITA,WOMEN,PC_WKGPOP,A,2013,46.525
ITA,WOMEN,PC_WKGPOP,A,2014,46.825
ITA,WOMEN,PC_WKGPOP,A,2015,47.175
ITA,WOMEN,PC_WKGPOP,A,2016,48.075
ITA,WOMEN,PC_WKGPOP,A,2017,48.9
ITA,WOMEN,PC_WKGPOP,A,2018,49.525
PRT,WOMEN,PC_WKGPOP,A,2005,61.55
PRT,WOMEN,PC_WKGPOP,A,2006,61.825
PRT,WOMEN,PC_WKGPOP,A,2007,61.825
PRT,WOMEN,PC_WKGPOP,A,2008,62.475
PRT,WOMEN,PC_WKGPOP,A,2009,61.5
PRT,WOMEN,PC_WKGPOP,A,2010,60.975
PRT,WOMEN,PC_WKGPOP,A,2011,60.1
PRT,WOMEN,PC_WKGPOP,A,2012,58.475
PRT,WOMEN,PC_WKGPOP,A,2013,57.925
PRT,WOMEN,PC_WKGPOP,A,2014,59.65
PRT,WOMEN,PC_WKGPOP,A,2015,61.125
PRT,WOMEN,PC_WKGPOP,A,2016,62.45
PRT,WOMEN,PC_WKGPOP,A,2017,64.75
PRT,WOMEN,PC_WKGPOP,A,2018,66.85
ESP,WOMEN,PC_WKGPOP,A,2005,51.775
ESP,WOMEN,PC_WKGPOP,A,2006,53.75
ESP,WOMEN,PC_WKGPOP,A,2007,55.225
ESP,WOMEN,PC_WKGPOP,A,2008,55.375
ESP,WOMEN,PC_WKGPOP,A,2009,53.25
ESP,WOMEN,PC_WKGPOP,A,2010,52.8
ESP,WOMEN,PC_WKGPOP,A,2011,52.575
ESP,WOMEN,PC_WKGPOP,A,2012,51.15
ESP,WOMEN,PC_WKGPOP,A,2013,50.3
ESP,WOMEN,PC_WKGPOP,A,2014,51.225
ESP,WOMEN,PC_WKGPOP,A,2015,52.675
ESP,WOMEN,PC_WKGPOP,A,2016,54.3
ESP,WOMEN,PC_WKGPOP,A,2017,55.65
ESP,WOMEN,PC_WKGPOP,A,2018,56.85
SVN,WOMEN,PC_WKGPOP,A,2005,61.35
SVN,WOMEN,PC_WKGPOP,A,2006,61.85
SVN,WOMEN,PC_WKGPOP,A,2007,62.6
SVN,WOMEN,PC_WKGPOP,A,2008,64.225
SVN,WOMEN,PC_WKGPOP,A,2009,63.85
SVN,WOMEN,PC_WKGPOP,A,2010,62.575
SVN,WOMEN,PC_WKGPOP,A,2011,60.9
SVN,WOMEN,PC_WKGPOP,A,2012,60.525
SVN,WOMEN,PC_WKGPOP,A,2013,59.2
SVN,WOMEN,PC_WKGPOP,A,2014,60
SVN,WOMEN,PC_WKGPOP,A,2015,61.025
SVN,WOMEN,PC_WKGPOP,A,2016,62.625
SVN,WOMEN,PC_WKGPOP,A,2017,65.825
SVN,WOMEN,PC_WKGPOP,A,2018,67.55
