LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
GRC,MEN,PC_WKGPOP,A,2005,73.425
GRC,MEN,PC_WKGPOP,A,2006,73.925
GRC,MEN,PC_WKGPOP,A,2007,74.2
GRC,MEN,PC_WKGPOP,A,2008,74.375
GRC,MEN,PC_WKGPOP,A,2009,72.95
GRC,MEN,PC_WKGPOP,A,2010,70.35
GRC,MEN,PC_WKGPOP,A,2011,65.35
GRC,MEN,PC_WKGPOP,A,2012,60.075
GRC,MEN,PC_WKGPOP,A,2013,57.9
GRC,MEN,PC_WKGPOP,A,2014,57.975
GRC,MEN,PC_WKGPOP,A,2015,59.275
GRC,MEN,PC_WKGPOP,A,2016,60.975
GRC,MEN,PC_WKGPOP,A,2017,62.725
GRC,MEN,PC_WKGPOP,A,2018,64.75
ITA,MEN,PC_WKGPOP,A,2005,69.9
ITA,MEN,PC_WKGPOP,A,2006,70.425
ITA,MEN,PC_WKGPOP,A,2007,70.575
ITA,MEN,PC_WKGPOP,A,2008,70.15
ITA,MEN,PC_WKGPOP,A,2009,68.5
ITA,MEN,PC_WKGPOP,A,2010,67.525
ITA,MEN,PC_WKGPOP,A,2011,67.25
ITA,MEN,PC_WKGPOP,A,2012,66.375
ITA,MEN,PC_WKGPOP,A,2013,64.65
ITA,MEN,PC_WKGPOP,A,2014,64.675
ITA,MEN,PC_WKGPOP,A,2015,65.5
ITA,MEN,PC_WKGPOP,A,2016,66.425
ITA,MEN,PC_WKGPOP,A,2017,67.025
ITA,MEN,PC_WKGPOP,A,2018,67.625
PRT,MEN,PC_WKGPOP,A,2005,73.275
PRT,MEN,PC_WKGPOP,A,2006,73.7
PRT,MEN,PC_WKGPOP,A,2007,73.65
PRT,MEN,PC_WKGPOP,A,2008,73.8
PRT,MEN,PC_WKGPOP,A,2009,70.85
PRT,MEN,PC_WKGPOP,A,2010,69.725
PRT,MEN,PC_WKGPOP,A,2011,67.725
PRT,MEN,PC_WKGPOP,A,2012,64.5
PRT,MEN,PC_WKGPOP,A,2013,63.475
PRT,MEN,PC_WKGPOP,A,2014,65.775
PRT,MEN,PC_WKGPOP,A,2015,66.875
PRT,MEN,PC_WKGPOP,A,2016,68.25
PRT,MEN,PC_WKGPOP,A,2017,71.1
PRT,MEN,PC_WKGPOP,A,2018,72.7
ESP,MEN,PC_WKGPOP,A,2005,75.1
ESP,MEN,PC_WKGPOP,A,2006,76.05
ESP,MEN,PC_WKGPOP,A,2007,76.125
ESP,MEN,PC_WKGPOP,A,2008,73.325
ESP,MEN,PC_WKGPOP,A,2009,66.475
ESP,MEN,PC_WKGPOP,A,2010,64.775
ESP,MEN,PC_WKGPOP,A,2011,63.35
ESP,MEN,PC_WKGPOP,A,2012,60.3
ESP,MEN,PC_WKGPOP,A,2013,59.225
ESP,MEN,PC_WKGPOP,A,2014,60.675
ESP,MEN,PC_WKGPOP,A,2015,62.9
ESP,MEN,PC_WKGPOP,A,2016,64.75
ESP,MEN,PC_WKGPOP,A,2017,66.5
ESP,MEN,PC_WKGPOP,A,2018,67.925
SVN,MEN,PC_WKGPOP,A,2005,70.4
SVN,MEN,PC_WKGPOP,A,2006,71.125
SVN,MEN,PC_WKGPOP,A,2007,72.7
SVN,MEN,PC_WKGPOP,A,2008,72.7
SVN,MEN,PC_WKGPOP,A,2009,71.025
SVN,MEN,PC_WKGPOP,A,2010,69.65
SVN,MEN,PC_WKGPOP,A,2011,67.7
SVN,MEN,PC_WKGPOP,A,2012,67.425
SVN,MEN,PC_WKGPOP,A,2013,67.075
SVN,MEN,PC_WKGPOP,A,2014,67.55
SVN,MEN,PC_WKGPOP,A,2015,69.2
SVN,MEN,PC_WKGPOP,A,2016,68.875
SVN,MEN,PC_WKGPOP,A,2017,72.525
SVN,MEN,PC_WKGPOP,A,2018,74.525
