LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
GRC,GGDEBT,TOT,PC_GDP,A,2005,116.6919
GRC,GGDEBT,TOT,PC_GDP,A,2006,115.3764
GRC,GGDEBT,TOT,PC_GDP,A,2007,112.8484
GRC,GGDEBT,TOT,PC_GDP,A,2008,117.4964
GRC,GGDEBT,TOT,PC_GDP,A,2009,135.3676
GRC,GGDEBT,TOT,PC_GDP,A,2010,129.1001
GRC,GGDEBT,TOT,PC_GDP,A,2011,111.3626
GRC,GGDEBT,TOT,PC_GDP,A,2012,164.4377
GRC,GGDEBT,TOT,PC_GDP,A,2013,180.2675
GRC,GGDEBT,TOT,PC_GDP,A,2014,181.2395
GRC,GGDEBT,TOT,PC_GDP,A,2015,182.9992
GRC,GGDEBT,TOT,PC_GDP,A,2016,186.2539
GRC,GGDEBT,TOT,PC_GDP,A,2017,188.7552
GRC,GGDEBT,TOT,PC_GDP,A,2018,193.0003
ITA,GGDEBT,TOT,PC_GDP,A,2005,117.1107
ITA,GGDEBT,TOT,PC_GDP,A,2006,114.6998
ITA,GGDEBT,TOT,PC_GDP,A,2007,110.3379
ITA,GGDEBT,TOT,PC_GDP,A,2008,112.6113
ITA,GGDEBT,TOT,PC_GDP,A,2009,125.6129
ITA,GGDEBT,TOT,PC_GDP,A,2010,124.3593
ITA,GGDEBT,TOT,PC_GDP,A,2011,117.1801
ITA,GGDEBT,TOT,PC_GDP,A,2012,135.2882
ITA,GGDEBT,TOT,PC_GDP,A,2013,142.9244
ITA,GGDEBT,TOT,PC_GDP,A,2014,155.4518
ITA,GGDEBT,TOT,PC_GDP,A,2015,156.6683
ITA,GGDEBT,TOT,PC_GDP,A,2016,154.4853
ITA,GGDEBT,TOT,PC_GDP,A,2017,152.1049
ITA,GGDEBT,TOT,PC_GDP,A,2018,147.3218
PRT,GGDEBT,TOT,PC_GDP,A,2005,80.0269
PRT,GGDEBT,TOT,PC_GDP,A,2006,79.40306
PRT,GGDEBT,TOT,PC_GDP,A,2007,78.0937
PRT,GGDEBT,TOT,PC_GDP,A,2008,82.65517
PRT,GGDEBT,TOT,PC_GDP,A,2009,96.12946
PRT,GGDEBT,TOT,PC_GDP,A,2010,104.2556
PRT,GGDEBT,TOT,PC_GDP,A,2011,107.8885
PRT,GGDEBT,TOT,PC_GDP,A,2012,137.1877
PRT,GGDEBT,TOT,PC_GDP,A,2013,141.2437
PRT,GGDEBT,TOT,PC_GDP,A,2014,151.4223
PRT,GGDEBT,TOT,PC_GDP,A,2015,149.2315
PRT,GGDEBT,TOT,PC_GDP,A,2016,145.3171
PRT,GGDEBT,TOT,PC_GDP,A,2017,144.3065
PRT,GGDEBT,TOT,PC_GDP,A,2018,139.037
ESP,GGDEBT,TOT,PC_GDP,A,2005,50.47991
ESP,GGDEBT,TOT,PC_GDP,A,2006,46.09558
ESP,GGDEBT,TOT,PC_GDP,A,2007,42.35281
ESP,GGDEBT,TOT,PC_GDP,A,2008,47.68485
ESP,GGDEBT,TOT,PC_GDP,A,2009,62.65619
ESP,GGDEBT,TOT,PC_GDP,A,2010,67.3768
ESP,GGDEBT,TOT,PC_GDP,A,2011,78.33935
ESP,GGDEBT,TOT,PC_GDP,A,2012,93.4564
ESP,GGDEBT,TOT,PC_GDP,A,2013,106.5329
ESP,GGDEBT,TOT,PC_GDP,A,2014,119.4477
ESP,GGDEBT,TOT,PC_GDP,A,2015,117.1039
ESP,GGDEBT,TOT,PC_GDP,A,2016,117.3478
ESP,GGDEBT,TOT,PC_GDP,A,2017,115.7994
ESP,GGDEBT,TOT,PC_GDP,A,2018,114.7592
SVN,GGDEBT,TOT,PC_GDP,A,2005,34.48221
SVN,GGDEBT,TOT,PC_GDP,A,2006,33.06923
SVN,GGDEBT,TOT,PC_GDP,A,2007,30.34488
SVN,GGDEBT,TOT,PC_GDP,A,2008,29.8953
SVN,GGDEBT,TOT,PC_GDP,A,2009,43.78715
SVN,GGDEBT,TOT,PC_GDP,A,2010,47.86614
SVN,GGDEBT,TOT,PC_GDP,A,2011,51.32956
SVN,GGDEBT,TOT,PC_GDP,A,2012,61.51445
SVN,GGDEBT,TOT,PC_GDP,A,2013,78.50645
SVN,GGDEBT,TOT,PC_GDP,A,2014,99.25522
SVN,GGDEBT,TOT,PC_GDP,A,2015,102.3766
SVN,GGDEBT,TOT,PC_GDP,A,2016,97.3925
SVN,GGDEBT,TOT,PC_GDP,A,2017,88.97096
SVN,GGDEBT,TOT,PC_GDP,A,2018,83.21091
