"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","LIFEEXP","TOT","YR","A","2005",79.7,
"GRC","LIFEEXP","TOT","YR","A","2006",79.9,
"GRC","LIFEEXP","TOT","YR","A","2007",79.7,
"GRC","LIFEEXP","TOT","YR","A","2008",80.3,
"GRC","LIFEEXP","TOT","YR","A","2009",80.4,
"GRC","LIFEEXP","TOT","YR","A","2010",80.7,
"GRC","LIFEEXP","TOT","YR","A","2011",80.8,
"GRC","LIFEEXP","TOT","YR","A","2012",80.7,
"GRC","LIFEEXP","TOT","YR","A","2013",81.4,
"GRC","LIFEEXP","TOT","YR","A","2014",81.5,
"GRC","LIFEEXP","TOT","YR","A","2015",81.1,
"GRC","LIFEEXP","TOT","YR","A","2016",81.5,
"GRC","LIFEEXP","TOT","YR","A","2017",81.4,
"ITA","LIFEEXP","TOT","YR","A","2005",80.9,
"ITA","LIFEEXP","TOT","YR","A","2006",81.4,
"ITA","LIFEEXP","TOT","YR","A","2007",81.5,
"ITA","LIFEEXP","TOT","YR","A","2008",81.6,
"ITA","LIFEEXP","TOT","YR","A","2009",81.7,
"ITA","LIFEEXP","TOT","YR","A","2010",82.1,
"ITA","LIFEEXP","TOT","YR","A","2011",82.3,
"ITA","LIFEEXP","TOT","YR","A","2012",82.3,
"ITA","LIFEEXP","TOT","YR","A","2013",82.8,
"ITA","LIFEEXP","TOT","YR","A","2014",83.2,
"ITA","LIFEEXP","TOT","YR","A","2015",82.6,
"ITA","LIFEEXP","TOT","YR","A","2016",83.3,
"ITA","LIFEEXP","TOT","YR","A","2017",83,
"PRT","LIFEEXP","TOT","YR","A","2005",78.2,
"PRT","LIFEEXP","TOT","YR","A","2006",79,
"PRT","LIFEEXP","TOT","YR","A","2007",79.2,
"PRT","LIFEEXP","TOT","YR","A","2008",79.5,
"PRT","LIFEEXP","TOT","YR","A","2009",79.7,
"PRT","LIFEEXP","TOT","YR","A","2010",80,
"PRT","LIFEEXP","TOT","YR","A","2011",80.6,
"PRT","LIFEEXP","TOT","YR","A","2012",80.5,
"PRT","LIFEEXP","TOT","YR","A","2013",80.8,
"PRT","LIFEEXP","TOT","YR","A","2014",81.2,
"PRT","LIFEEXP","TOT","YR","A","2015",81.2,
"PRT","LIFEEXP","TOT","YR","A","2016",81.2,
"PRT","LIFEEXP","TOT","YR","A","2017",81.5,
"ESP","LIFEEXP","TOT","YR","A","2005",80.3,
"ESP","LIFEEXP","TOT","YR","A","2006",81.1,
"ESP","LIFEEXP","TOT","YR","A","2007",81.2,
"ESP","LIFEEXP","TOT","YR","A","2008",81.5,
"ESP","LIFEEXP","TOT","YR","A","2009",81.9,
"ESP","LIFEEXP","TOT","YR","A","2010",82.4,
"ESP","LIFEEXP","TOT","YR","A","2011",82.6,
"ESP","LIFEEXP","TOT","YR","A","2012",82.5,
"ESP","LIFEEXP","TOT","YR","A","2013",83.2,
"ESP","LIFEEXP","TOT","YR","A","2014",83.3,
"ESP","LIFEEXP","TOT","YR","A","2015",82.9,
"ESP","LIFEEXP","TOT","YR","A","2016",83.4,
"ESP","LIFEEXP","TOT","YR","A","2017",83.4,
"SVN","LIFEEXP","TOT","YR","A","2005",77.4,
"SVN","LIFEEXP","TOT","YR","A","2006",78.3,
"SVN","LIFEEXP","TOT","YR","A","2007",78.3,
"SVN","LIFEEXP","TOT","YR","A","2008",79.1,"B"
"SVN","LIFEEXP","TOT","YR","A","2009",79.3,
"SVN","LIFEEXP","TOT","YR","A","2010",79.8,
"SVN","LIFEEXP","TOT","YR","A","2011",80.1,
"SVN","LIFEEXP","TOT","YR","A","2012",80.2,
"SVN","LIFEEXP","TOT","YR","A","2013",80.4,
"SVN","LIFEEXP","TOT","YR","A","2014",81.2,
"SVN","LIFEEXP","TOT","YR","A","2015",80.9,
"SVN","LIFEEXP","TOT","YR","A","2016",81.3,
"SVN","LIFEEXP","TOT","YR","A","2017",81.1,
