LOCATION,Country,TIME,Value
Greece,Greece,2005,3.59
Greece,Greece,2006,4.07
Greece,Greece,2007,4.5
Greece,Greece,2008,4.8
Greece,Greece,2009,5.17
Greece,Greece,2010,9.09
Greece,Greece,2011,15.75
Greece,Greece,2012,22.5
Greece,Greece,2013,10.05
Greece,Greece,2014,6.93
Greece,Greece,2015,9.67
Greece,Greece,2016,8.36
Greece,Greece,2017,5.98
Greece,Greece,2018,4.19
Spain,Spain,2005,3.39
Spain,Spain,2006,3.78
Spain,Spain,2007,4.31
Spain,Spain,2008,4.37
Spain,Spain,2009,3.98
Spain,Spain,2010,4.25
Spain,Spain,2011,5.44
Spain,Spain,2012,5.85
Spain,Spain,2013,4.56
Spain,Spain,2014,2.72
Spain,Spain,2015,1.73
Spain,Spain,2016,1.39
Spain,Spain,2017,1.56
Spain,Spain,2018,1.42
Croatia,Croatia,2005,4.42
Croatia,Croatia,2006,4.43
Croatia,Croatia,2007,4.93
Croatia,Croatia,2008,6.04
Croatia,Croatia,2009,7.83
Croatia,Croatia,2010,6.28
Croatia,Croatia,2011,6.54
Croatia,Croatia,2012,6.13
Croatia,Croatia,2013,4.68
Croatia,Croatia,2014,4.05
Croatia,Croatia,2015,3.55
Croatia,Croatia,2016,3.49
Croatia,Croatia,2017,2.77
Croatia,Croatia,2018,2.17
Italy,Italy,2005,3.56
Italy,Italy,2006,4.05
Italy,Italy,2007,4.49
Italy,Italy,2008,4.68
Italy,Italy,2009,4.31
Italy,Italy,2010,4.04
Italy,Italy,2011,5.42
Italy,Italy,2012,5.49
Italy,Italy,2013,4.32
Italy,Italy,2014,2.89
Italy,Italy,2015,1.71
Italy,Italy,2016,1.49
Italy,Italy,2017,2.11
Italy,Italy,2018,2.61
Portugal,Portugal,2005,3.44
Portugal,Portugal,2006,3.91
Portugal,Portugal,2007,4.42
Portugal,Portugal,2008,4.52
Portugal,Portugal,2009,4.21
Portugal,Portugal,2010,5.4
Portugal,Portugal,2011,10.24
Portugal,Portugal,2012,10.55
Portugal,Portugal,2013,6.29
Portugal,Portugal,2014,3.75
Portugal,Portugal,2015,2.42
Portugal,Portugal,2016,3.17
Portugal,Portugal,2017,3.05
Portugal,Portugal,2018,1.84
Slovenia,Slovenia,2005,3.52
Slovenia,Slovenia,2006,4.41
Slovenia,Slovenia,2007,4.49
Slovenia,Slovenia,2008,4.72
Slovenia,Slovenia,2009,4.71
Slovenia,Slovenia,2010,3.87
Slovenia,Slovenia,2011,4.45
Slovenia,Slovenia,2012,4.55
Slovenia,Slovenia,2013,3.19
Slovenia,Slovenia,2014,2.07
Slovenia,Slovenia,2015,0.89
Slovenia,Slovenia,2016,0.54
Slovenia,Slovenia,2017,0.92
Slovenia,Slovenia,2018,0.89
