"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2000",12.127,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2001",12.305,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2002",11.865,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2003",11.023,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2004",10.638,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2005",10.892,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2006",11.108,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2007",11.417,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2008",11.219,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2009",10.966,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2010",12.251,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2011",13.159,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2012",13.275,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2013",13.748,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2014",13.901,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2015",14.288,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2016",15.377,
"GRC","TAXGOODSERV","TOT","PC_GDP","A","2017",15.397,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2000",11.323,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2001",10.813,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2002",10.716,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2003",10.303,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2004",10.388,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2005",10.344,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2006",10.635,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2007",10.538,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2008",10.345,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2009",10.44,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2010",11.009,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2011",11.254,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2012",11.624,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2013",11.549,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2014",11.773,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2015",11.775,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2016",11.986,
"ITA","TAXGOODSERV","TOT","PC_GDP","A","2017",12.049,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2000",12.509,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2001",12.581,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2002",13.004,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2003",13.564,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2004",12.87,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2005",13.509,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2006",13.741,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2007",13.236,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2008",12.894,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2009",11.573,
"PRT","TAXGOODSERV","TOT","PC_GDP","A","2010",12.229,
