LOCATION,INDICATOR,MEASURE,FREQUENCY,TIME,Value
GRC,TAXPROPERTY,PC_GDP,A,2005,1.301
GRC,TAXPROPERTY,PC_GDP,A,2006,1.618
GRC,TAXPROPERTY,PC_GDP,A,2007,1.659
GRC,TAXPROPERTY,PC_GDP,A,2008,1.69
GRC,TAXPROPERTY,PC_GDP,A,2009,1.868
GRC,TAXPROPERTY,PC_GDP,A,2010,1.655
GRC,TAXPROPERTY,PC_GDP,A,2011,2.477
GRC,TAXPROPERTY,PC_GDP,A,2012,2.705
GRC,TAXPROPERTY,PC_GDP,A,2013,3.154
GRC,TAXPROPERTY,PC_GDP,A,2014,2.873
GRC,TAXPROPERTY,PC_GDP,A,2015,3.073
GRC,TAXPROPERTY,PC_GDP,A,2016,3.151
GRC,TAXPROPERTY,PC_GDP,A,2017,3.199
ITA,TAXPROPERTY,PC_GDP,A,2005,1.96
ITA,TAXPROPERTY,PC_GDP,A,2006,2.041
ITA,TAXPROPERTY,PC_GDP,A,2007,2.028
ITA,TAXPROPERTY,PC_GDP,A,2008,1.792
ITA,TAXPROPERTY,PC_GDP,A,2009,2.606
ITA,TAXPROPERTY,PC_GDP,A,2010,2.022
ITA,TAXPROPERTY,PC_GDP,A,2011,2.205
ITA,TAXPROPERTY,PC_GDP,A,2012,2.705
ITA,TAXPROPERTY,PC_GDP,A,2013,2.735
ITA,TAXPROPERTY,PC_GDP,A,2014,2.889
ITA,TAXPROPERTY,PC_GDP,A,2015,2.807
ITA,TAXPROPERTY,PC_GDP,A,2016,2.802
ITA,TAXPROPERTY,PC_GDP,A,2017,2.56
PRT,TAXPROPERTY,PC_GDP,A,2005,1.13
PRT,TAXPROPERTY,PC_GDP,A,2006,1.193
PRT,TAXPROPERTY,PC_GDP,A,2007,1.302
PRT,TAXPROPERTY,PC_GDP,A,2008,1.192
PRT,TAXPROPERTY,PC_GDP,A,2009,1.086
PRT,TAXPROPERTY,PC_GDP,A,2010,1.075
PRT,TAXPROPERTY,PC_GDP,A,2011,1.105
PRT,TAXPROPERTY,PC_GDP,A,2012,1.05
PRT,TAXPROPERTY,PC_GDP,A,2013,1.119
PRT,TAXPROPERTY,PC_GDP,A,2014,1.229
PRT,TAXPROPERTY,PC_GDP,A,2015,1.281
PRT,TAXPROPERTY,PC_GDP,A,2016,1.269
PRT,TAXPROPERTY,PC_GDP,A,2017,1.396
ESP,TAXPROPERTY,PC_GDP,A,2005,3.019
ESP,TAXPROPERTY,PC_GDP,A,2006,3.216
ESP,TAXPROPERTY,PC_GDP,A,2007,2.993
ESP,TAXPROPERTY,PC_GDP,A,2008,2.318
ESP,TAXPROPERTY,PC_GDP,A,2009,2.055
ESP,TAXPROPERTY,PC_GDP,A,2010,2.095
ESP,TAXPROPERTY,PC_GDP,A,2011,1.982
ESP,TAXPROPERTY,PC_GDP,A,2012,2.139
ESP,TAXPROPERTY,PC_GDP,A,2013,2.393
ESP,TAXPROPERTY,PC_GDP,A,2014,2.529
ESP,TAXPROPERTY,PC_GDP,A,2015,2.598
ESP,TAXPROPERTY,PC_GDP,A,2016,2.557
ESP,TAXPROPERTY,PC_GDP,A,2017,2.526
SVN,TAXPROPERTY,PC_GDP,A,2005,0.582
SVN,TAXPROPERTY,PC_GDP,A,2006,0.598
SVN,TAXPROPERTY,PC_GDP,A,2007,0.587
SVN,TAXPROPERTY,PC_GDP,A,2008,0.563
SVN,TAXPROPERTY,PC_GDP,A,2009,0.579
SVN,TAXPROPERTY,PC_GDP,A,2010,0.612
SVN,TAXPROPERTY,PC_GDP,A,2011,0.595
SVN,TAXPROPERTY,PC_GDP,A,2012,0.628
SVN,TAXPROPERTY,PC_GDP,A,2013,0.64
SVN,TAXPROPERTY,PC_GDP,A,2014,0.619
SVN,TAXPROPERTY,PC_GDP,A,2015,0.62
SVN,TAXPROPERTY,PC_GDP,A,2016,0.63
SVN,TAXPROPERTY,PC_GDP,A,2017,0.639
