LOCATION,INDICATOR,TIME,Value
GRC,LTUNEMP,2005,51.90454558
GRC,LTUNEMP,2006,54.13090397
GRC,LTUNEMP,2007,49.69199973
GRC,LTUNEMP,2008,47.09390628
GRC,LTUNEMP,2009,40.35079865
GRC,LTUNEMP,2010,44.59906992
GRC,LTUNEMP,2011,49.33127691
GRC,LTUNEMP,2012,59.08686828
GRC,LTUNEMP,2013,67.10447778
GRC,LTUNEMP,2014,73.4999387
GRC,LTUNEMP,2015,73.11266521
GRC,LTUNEMP,2016,71.96609247
GRC,LTUNEMP,2017,72.75192576
GRC,LTUNEMP,2018,70.34673947
ITA,LTUNEMP,2005,49.7593774
ITA,LTUNEMP,2006,49.56571286
ITA,LTUNEMP,2007,47.49234674
ITA,LTUNEMP,2008,45.72584316
ITA,LTUNEMP,2009,44.59945007
ITA,LTUNEMP,2010,48.469847
ITA,LTUNEMP,2011,51.97183699
ITA,LTUNEMP,2012,53.15971963
ITA,LTUNEMP,2013,56.93751116
ITA,LTUNEMP,2014,61.39888365
ITA,LTUNEMP,2015,58.92492285
ITA,LTUNEMP,2016,58.32164435
ITA,LTUNEMP,2017,58.77928857
ITA,LTUNEMP,2018,59.03291816
PRT,LTUNEMP,2005,48.29135939
PRT,LTUNEMP,2006,50.44243475
PRT,LTUNEMP,2007,47.19142439
PRT,LTUNEMP,2008,47.44040575
PRT,LTUNEMP,2009,44.2052073
PRT,LTUNEMP,2010,52.24546113
PRT,LTUNEMP,2011,48.35610297
PRT,LTUNEMP,2012,48.77319911
PRT,LTUNEMP,2013,56.35152338
PRT,LTUNEMP,2014,59.60350838
PRT,LTUNEMP,2015,57.36930996
PRT,LTUNEMP,2016,60.67569731
PRT,LTUNEMP,2017,55.07083764
PRT,LTUNEMP,2018,48.44627169
ESP,LTUNEMP,2005,24.40019532
ESP,LTUNEMP,2006,21.64241991
ESP,LTUNEMP,2007,20.39306115
ESP,LTUNEMP,2008,17.99257491
ESP,LTUNEMP,2009,23.79933619
ESP,LTUNEMP,2010,36.62946524
ESP,LTUNEMP,2011,41.5881284
ESP,LTUNEMP,2012,44.366453
ESP,LTUNEMP,2013,49.68255006
ESP,LTUNEMP,2014,52.84357444
ESP,LTUNEMP,2015,51.60045279
ESP,LTUNEMP,2016,48.35537711
ESP,LTUNEMP,2017,44.4816721
ESP,LTUNEMP,2018,41.7286987
SVN,LTUNEMP,2005,47.34667879
SVN,LTUNEMP,2006,49.25580718
SVN,LTUNEMP,2007,45.73833224
SVN,LTUNEMP,2008,42.20270628
SVN,LTUNEMP,2009,30.07379047
SVN,LTUNEMP,2010,43.31487217
SVN,LTUNEMP,2011,44.21407102
SVN,LTUNEMP,2012,47.89450343
SVN,LTUNEMP,2013,50.96616056
SVN,LTUNEMP,2014,54.48876549
SVN,LTUNEMP,2015,52.30446733
SVN,LTUNEMP,2016,53.27870589
SVN,LTUNEMP,2017,47.4585893
SVN,LTUNEMP,2018,42.92518677
